Country,Latitude,Longitude
Afghanistan,33.7680065,66.2385139
Albania,41.000028,19.9999619
Algeria,28.0000272,2.9999825
Angola,-11.8775768,17.5691241
Antigua and Barbuda,17.2234721,-61.9554608
Argentina,-34.9964963,-64.9672817
Armenia,40.7696272,44.6736646
Australia,-24.7761086,134.755
Austria,47.2000338,13.199959
Azerbaijan,40.3936294,47.7872508
Bahamas,24.7736546,-78.0000547
Bahrain,26.1551249,50.5344606
Bangladesh,24.4768783,90.2932426
Barbados,13.1500331,-59.5250305
Belarus,53.4250605,27.6971358
Belgium,50.6402809,4.6667145
Belize,16.8259793,-88.7600927
Benin,9.5293472,2.2584408
Bhutan,27.549511,90.5119273
Bolivia,-17.0568696,-64.9912286
Bosnia and Herzegovina,44.3053476,17.5961467
Botswana,-23.1681782,24.5928742
Brazil,-10.3333333,-53.2
Brunei,4.4137155,114.5653908
Bulgaria,42.6073975,25.4856617
Burkina Faso,12.0753083,-1.6880314
Burundi,-3.3634357,29.8870575
Côte d'Ivoire,7.5455,-5.5475
Cabo Verde,16.0000552,-24.0083947
Cambodia,13.5066394,104.869423
Cameroon,4.6125522,13.1535811
Canada,61.0666922,-107.9917071
Central African Republic,7.0323598,19.9981227
Chad,15.6134137,19.0156172
Chile,-31.7613365,-71.3187697
China,35.000074,104.999927
Colombia,2.8894434,-73.783892
Comoros,11.6455,43.3333
Congo ,-0.7264327,15.6419155
Cook Islands,21.2367,159.7777
Costa Rica,10.2735633,-84.0739102
Croatia,45.5643442,17.0118954
Cuba,23.0131338,-80.8328748
Cyprus,34.9823018,33.1451285
Czechia,49.8167003,15.4749544
Democratic People's Republic of Korea,40.3425,127.431
Democratic Republic of the Congo,4.0383,21.7587
Denmark,55.670249,10.3333283
Djibouti,11.8145966,42.8453061
Dominica,19.0974031,-70.3028026
Dominican Republic,19.0974031,-70.3028026
Ecuador,-1.3397668,-79.3666965
Egypt,26.2540493,29.2675469
El Salvador,13.8000382,-88.9140683
Equatorial Guinea,1.613172,10.5170357
Eritrea,15.9500319,37.9999668
Estonia,58.7523778,25.3319078
Ethiopia,10.2116702,38.6521203
Fiji,-18.1239696,179.0122737
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
Gabon,-0.8999695,11.6899699
Gambia,13.470062,-15.4900464
Georgia,32.3293809,-83.1137366
Germany,51.0834196,10.4234469
Ghana,8.0300284,-1.0800271
Greece,38.9953683,21.9877132
Grenada,12.1360374,-61.6904045
Guatemala,15.6356088,-89.8988087
Guinea,10.7226226,-10.7083587
Guinea-Bissau,12.100035,-14.9000214
Guyana,4.8417097,-58.6416891
Haiti,19.1399952,-72.3570972
Honduras,15.2572432,-86.0755145
Hungary,47.1817585,19.5060937
Iceland,64.9841821,-18.1059013
India,22.3511148,78.6677428
Indonesia,-2.4833826,117.8902853
Iran (Islamic Republic of),32.6475314,54.5643516
Iraq,33.0955793,44.1749775
Ireland,52.865196,-7.9794599
Israel,31.5313113,34.8667654
Italy,42.6384261,12.674297
Jamaica,18.1152958,-77.15984546
Japan,36.5748441,139.2394179
Jordan,31.1667049,36.941628
Kazakhstan,47.2286086,65.2093197
Kenya,1.4419683,38.4313975
Kiribati,1.8369,157.3768
Kuwait,29.2733964,47.4979476
Kyrgyzstan,41.5089324,74.724091
Lao People's Democratic Republic,20.0171109,103.378253
Latvia,56.8406494,24.7537645
Lebanon,33.8750629,35.843409
Lesotho,29.61,28.2336
Liberia,5.7499721,-9.3658524
Libya,26.8234472,18.1236723
Lithuania,55.3500003,23.7499997
Luxembourg,49.8158683,6.1296751
Madagascar,-18.9249604,46.4416422
Malawi,-13.2687204,33.9301963
Malaysia,4.5693754,102.2656823
Maldives,4.7064352,73.3287853
Mali,16.3700359,-2.2900239
Malta,35.8885993,14.4476911
Marshall Islands,11.604,165.3133
Mauritania,20.2540382,-9.2399263
Mauritius,-20.2759451,57.5703566
Mexico,19.4326296,-99.1331785
Micronesia (Federated States of),7.4256,150.5508
Monaco,43.7323492,7.4276832
Mongolia,46.8250388,103.8499736
Montenegro,42.9868853,19.5180992
Morocco,31.1728205,-7.3362482
Mozambique,-19.302233,34.9144977
Myanmar,21.9162,95.956
Namibia,-23.2335499,17.3231107
Nauru,-0.5477,166.9209
Nepal,28.1083929,84.0917139
Netherlands,52.5001698,5.7480821
New Zealand,-41.5000831,172.8344077
Nicaragua,12.6090157,-85.2936911
Niger,17.7356214,9.3238432
Nigeria,9.6000359,7.9999721
Niue,-19.054445,-169.867233
Norway,64.5731537,11.52803644
Oman,21.0000287,57.0036901
Pakistan,30.3308401,71.247499
Palau,7.5,134.6249
Panama,8.559559,-81.1308434
Papua New Guinea,-5.6816069,144.2489081
Paraguay,-23.3165935,-58.1693445
Peru,-6.8699697,-75.0458515
Philippines,12.7503486,122.7312101
Poland,52.215933,19.134422
Portugal,40.0332629,-7.8896263
Qatar,25.3336984,51.2295295
Republic of Korea,37.5666791,126.9782914
Republic of Moldova,47.1996067,28.5721343
Romania,45.9852129,24.6859225
Russian Federation,61.52401,105.318756
Rwanda,-1.9646631,30.1226714
Saint Kitts and Nevis,17.257841,-62.7622303
Saint Lucia,13.8250489,-60.975036
Saint Vincent and the Grenadines,13.2528171,-61.1970328
Samoa,-13.7687528,-172.1331484
San Marino,43.9458623,12.458306
Sao Tome and Principe,0.8875498,6.9648718
Saudi Arabia,25.6242618,42.3528328
Senegal,14.4750607,-14.4529612
Serbia,44.02432285,21.07657433
Seychelles,-4.6574977,55.4540146
Sierra Leone,8.6400349,-11.8400269
Singapore,1.357107,103.8194992
Slovakia,48.7411522,19.4528646
Slovenia,45.8133113,14.4808369
Solomon Islands,-9.7485,160.0752
Somalia,8.3676771,49.083416
South Africa,-28.8166236,24.991639
South Sudan,7.8699431,29.6667897
Spain,39.3262345,-4.8380649
Sri Lanka,7.5554942,80.7137847
Sudan,14.5844444,29.4917691
Suriname,4.1413025,-56.0771187
Swaziland,-26.5225035,31.465866
Sweden,59.6749712,14.5208584
Switzerland,46.7985624,8.2319736
Syrian Arab Republic,34.6401861,39.0494106
Tajikistan,38.861034,71.2760937
Thailand,14.8971921,100.83273
The former Yugoslav republic of Macedonia,41.6086,21.7453
Timor-Leste,-8.5151979,125.8375756
Togo,8.7800265,1.0199765
Tonga,-21.178986,-175.198242
Trinidad and Tobago,10.8677845,-60.9821067
Tunisia,33.8439408,9.400138
Turkey,38.9597594,34.9249653
Turkmenistan,38.9697195,59.5562781
Tuvalu,-7.109535,177.64933
Uganda,1.5333554,32.2166578
Ukraine,49.4871968,31.2718321
United Arab Emirates,24.0002488,53.9994829
United Kingdom of Great Britain and Northern Ireland,54.7023545,-3.2765753
United Republic of Tanzania,-6.369028,34.888822
United States of America,37.09024,-95.712891
Uruguay,-32.8755548,-56.0201525
Uzbekistan,41.32373,63.9528098
Vanuatu,-15.376706,166.959158
Venezuela (Bolivarian Republic of),8.0018709,-66.1109318
Viet Nam,13.2904027,108.4265113
Yemen,15.552727,48.516388
Zambia,-14.5186239,27.5599164
Zimbabwe,-18.4554963,29.7468414
